FECHA;DESCRIPCION;MONTO;CUIT;REFERENCIA
20250101;TRANSFERENCIA AFIP;-871788.38;30-44444444-4;2AA7AF9C
20250101;TRANSFERENCIA AFIP;-942773.68;30-44444444-4;8BF3EFB5
20250101;TRANSFERENCIA DISTRIBUIDORA NORTE S.A.;-56887.72;30-11111111-1;B87F4949
20250101;TRANSFERENCIA JUAN PEREZ (ALQUILER);-350805.19;20-66666666-6;F9DE65F9
20250101;TRANSFERENCIA TELEFONICA ARGENTINA;-149000.00;30-77777777-7;65A2009D
20250102;TRANSFERENCIA BANCO NACION;-5534.33;33-33333333-3;0E134D8D
20250102;TRANSFERENCIA ENERGIA SUR S.A.;-216000.00;30-22222222-2;80D614AB
20250102;TRANSFERENCIA ENERGIA SUR S.A.;-302533.83;30-22222222-2;B0521C91
20250102;TRANSFERENCIA ENERGIA SUR S.A.;-489000.00;30-22222222-2;5A56C311
20250104;TRANSFERENCIA BANCO NACION;-68766.74;33-33333333-3;3AD324C9
20250104;TRANSFERENCIA DISTRIBUIDORA NORTE S.A.;-24851.25;30-11111111-1;81413C78
20250104;TRANSFERENCIA DISTRIBUIDORA NORTE S.A.;-314354.37;30-11111111-1;EF7FF352
20250104;TRANSFERENCIA DISTRIBUIDORA NORTE S.A.;-360306.64;30-11111111-1;F0BD6875
20250104;TRANSFERENCIA DISTRIBUIDORA NORTE S.A.;-458842.32;30-11111111-1;B730D714
20250105;RETENCION IIBB BANCO NACION;-6464.58;33-33333333-3;6E84DDF0RET
20250105;TRANSFERENCIA BANCO NACION;-215485.94;33-33333333-3;6E84DDF0
20250105;TRANSFERENCIA BANCO NACION;-314238.40;33-33333333-3;FE5C4578
20250105;TRANSFERENCIA JUAN PEREZ (ALQUILER);-90000.00;20-66666666-6;BA3B84F2
20250105;TRANSFERENCIA LOGISTICA EXPRESS S.R.L.;-272885.99;30-55555555-5;0A90BCBE
20250105;TRANSFERENCIA TELEFONICA ARGENTINA;-165810.02;30-77777777-7;27063C58
20250106;RETENCION IIBB AFIP;-53841.09;30-44444444-4;8FDC9EF6RET
20250106;TRANSFERENCIA AFIP;-1794702.95;30-44444444-4;8FDC9EF6
